periodo,tipoEntidad,entidad,sectorEconomico,cantidadCredito,deuda,tasaPorDeuda,tasaPromedioPonderado,deudaCapital,deudaVencida,deudaVencidaDe31A90Dias,valorDesembolso,valorGarantia,valorProvisionCapitalYRendimiento
2020-01,BANCOS MÚLTIPLES,SCOTIABANK,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,22,985785525.8199998,4740617777.5547,4.808974826051886,983677821.36,1592786.24,1571778.95,266580054.14,191408621.26,34696124.58
2020-01,BANCOS MÚLTIPLES,BHD,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",2801,5291744626.630001,57787949092.66009,10.92039642310967,5258600013.749997,78228196.33999996,5196838.63,278187593.5300001,1540629096.87,172923814.1600001
2020-01,BANCOS MÚLTIPLES,SCOTIABANK,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",87,333853741.0100001,2874340569.210999,8.60958023269508,332903572.75,2261282.53,91643.91,5007248.38,259093105.13,8449596.93
2020-01,BANCOS MÚLTIPLES,SCOTIABANK,B - PESCA,1,15111.1,241777.6,16.0,15000.0,0.0,0.0,0.0,0.0,151.89
2020-01,BANCOS MÚLTIPLES,BLH,C - EXPLOTACIÓN DE MINAS Y CANTERAS,2,884747.6000000001,14916436.38,16.85953867521087,878322.26,0.0,0.0,0.0,0.0,8847.47
2020-01,BANCOS MÚLTIPLES,TODOS,C - EXPLOTACIÓN DE MINAS Y CANTERAS,903,1775694155.65,21093331681.377,11.878921611732,1762167663.56,47310551.99,33733751.29,219517239.51,989590801.22,54352236.56
2020-01,BANCOS MÚLTIPLES,BANESCO,D - INDUSTRIA MANUFACTURERA,156,824786970.0499998,8285052045.348001,10.04508114967644,820753877.99,11083509.66,1240066.38,107894216.97,315762292.48,24658355.88
2020-01,BANCOS MÚLTIPLES,LAFISE,D - INDUSTRIA MANUFACTURERA,38,210854339.98,1617000168.46,7.668801925601231,210321027.23,103004.54,0.0,19778649.28,55768422.8,2354934.27
2020-01,BANCOS MÚLTIPLES,ADEMI,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",195,20000090.32999999,538930953.4524999,26.94642596909211,19519117.12,243061.62,70352.72,1286842.74,683002.64,360153.4899999999
2020-01,BANCOS MÚLTIPLES,CITIBANK,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",25,1344059526.89,11675349313.66,8.686631120182172,1332363143.89,0.0,0.0,259903425.0,640813753.95,117307853.44
2020-01,BANCOS MÚLTIPLES,TODOS,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",2118,22258785661.68001,148884522704.5063,6.688798075845665,22117860081.57999,30235916.39,11644250.48,923205428.0399997,8499781940.490001,427455366.4000001
2020-01,BANCOS MÚLTIPLES,BANESCO,F - CONSTRUCCIÓN,139,1002888760.95,9589800357.8515,9.562177512855394,996840905.05,5032136.569999999,871858.64,40605431.16999999,733586828.13,13888709.7
2020-01,BANCOS MÚLTIPLES,LAFISE,F - CONSTRUCCIÓN,52,378292953.2,3689826195.5455,9.753885617834182,376918783.57,0.0,0.0,38190723.51,172778033.12,4200049.850000001
2020-01,BANCOS MÚLTIPLES,ACTIVO,G - COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS,295,166246580.71,3274618602.514501,19.69735911878232,164164218.38,37606720.38,22300054.93,6058487.9,24249426.25,12306230.75000001
2020-01,BANCOS MÚLTIPLES,BLH,G - COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS,205,539705154.8700001,6653947480.892997,12.32885663746485,535786691.39,32122602.48,2218425.14,9990387.179999998,260157909.04,21702870.98
2020-01,BANCOS MÚLTIPLES,SCOTIABANK,G - COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS,9734,9358839808.079994,104972665036.7303,11.21641861484815,9293830903.55,113323721.98,16165571.33,234858981.6,3502582963.44,194019943.7
2020-01,BANCOS MÚLTIPLES,BANESCO,H - ALOJAMIENTO Y SERVICIOS DE COMIDA,39,840826682.7500001,6158350456.446,7.324161545759413,834709421.1800001,5701917.869999999,87353.89,1042940.39,768987063.5,10926912.83
2020-01,BANCOS MÚLTIPLES,POPULAR,H - ALOJAMIENTO Y SERVICIOS DE COMIDA,1190,27448413001.16999,127486081867.9285,4.644570229342379,27341867605.33,22968836.35,2856107.16,3709670234.550002,20937810060.82999,398178014.6099998
2020-01,BANCOS MÚLTIPLES,ADEMI,I - TRANSPORTE Y ALMACENAMIENTO,8551,735006885.9199997,20433028945.56649,27.799778936752,714177739.6400007,36408369.07,2497075.709999999,49495779.73,32571899.70000001,31613260.12000002
2020-01,BANCOS MÚLTIPLES,CARIBE,I - TRANSPORTE Y ALMACENAMIENTO,45,168693204.3,1474250278.081,8.739239284703066,167844029.22,4857614.959999999,195671.42,485304.0,113489200.99,4822230.340000001
2020-01,BANCOS MÚLTIPLES,TODOS,I - TRANSPORTE Y ALMACENAMIENTO,16104,27978009263.2,253664428283.7744,9.066564597125355,27779115786.94,376300163.52,37850326.83000001,1846779695.33,11468623092.0,686310141.2999998
2020-01,BANCOS MÚLTIPLES,ACTIVO,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,12,9121702.149999999,160709969.37,17.61841887920009,9045210.9,270862.16,270862.16,182552.39,6052500.0,147645.38
2020-01,BANCOS MÚLTIPLES,BLH,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,53,319802528.81,3299122259.724,10.31612311509914,318048593.84,0.0,0.0,1355037.56,305874787.15,3198065.26
2020-01,BANCOS MÚLTIPLES,ACTIVO,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",4,2323709.08,49936993.525,21.49020888836911,2288484.16,0.0,0.0,699600.0,0.0,23237.09
2020-01,BANCOS MÚLTIPLES,BLH,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",11,31975472.6,405855746.316,12.69272080488343,31649783.41,73333.32,73333.32,127245.35,21540156.29,402736.9300000001
2020-01,BANCOS MÚLTIPLES,VIMENCA,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",4,20538150.26,165449947.219,8.055737499458727,20314199.67,102505.9,102505.9,0.0,1521859.2,1225256.56
2020-01,BANCOS MÚLTIPLES,TODOS,B - PESCA,340,236562894.19,3184971172.5832,13.46352809678229,234704433.7,7507065.23,91037.13,31502264.79,10281758.65,9688572.59
2020-01,BANCOS MÚLTIPLES,CARIBE,C - EXPLOTACIÓN DE MINAS Y CANTERAS,2,1812549.48,35019494.466,19.3205729567173,1787585.66,0.0,0.0,0.0,0.0,18125.5
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,D - INDUSTRIA MANUFACTURERA,4048,20828860505.60003,199649407143.9556,9.585229450755504,20543551137.46002,319209074.7599999,11637224.36,2990426948.72,5423869991.820003,1047257769.959999
2020-01,BANCOS MÚLTIPLES,POPULAR,D - INDUSTRIA MANUFACTURERA,18116,35088653040.22002,317912109480.0881,9.060254011907622,34955408767.87994,126596577.6700001,12400902.57,1691042902.579999,12066362053.13,626244309.0700004
2020-01,BANCOS MÚLTIPLES,BANESCO,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",24,343687391.3700001,2717030039.1212,7.905527253387525,339788935.58,52897.54,52897.54,5018879.55,284409386.53,6959390.62
2020-01,BANCOS MÚLTIPLES,LAFISE,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",8,34962323.54000001,260814653.5325,7.459877580336012,34689337.76000001,0.0,0.0,519422.48,0.0,349623.23
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,F - CONSTRUCCIÓN,3524,31017834525.42001,303573496665.7798,9.787062872393383,30079002170.59,122895105.87,10202686.0,3673261276.18,6173005857.959997,729500438.5300001
2020-01,BANCOS MÚLTIPLES,POPULAR,F - CONSTRUCCIÓN,4261,14364832440.39,123666287661.0618,8.60896137662879,14291857765.92999,48620316.26999997,5693972.6,483548842.4100001,10437115762.84,307743577.7400004
2020-01,BANCOS MÚLTIPLES,ADEMI,G - COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS,46418,3066621963.400001,89046357215.14609,29.03727889446774,2979897172.589993,113397577.03,12217244.69999999,263436710.7399997,366590682.0999999,99707509.07
2020-01,BANCOS MÚLTIPLES,CARIBE,G - COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS,225,452670464.3600003,6128013036.290296,13.53747045315685,449163087.95,6357928.149999999,3605373.55,13861651.67,184191883.34,8062709.429999998
2020-01,BANCOS MÚLTIPLES,VIMENCA,G - COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS,102,537604035.84,6798197858.3525,12.64536239526252,534326280.3499999,6134520.779999999,1138666.26,62311406.91,338201228.51,8973042.99
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,H - ALOJAMIENTO Y SERVICIOS DE COMIDA,1339,16573980122.82999,106973620639.8602,6.45431090462745,16429930574.68999,280650818.2699999,4548154.78,84724100.27,15785470191.73,381321322.8000001
2020-01,BANCOS MÚLTIPLES,PROGRESO,H - ALOJAMIENTO Y SERVICIOS DE COMIDA,169,2144189138.51,12912773823.761,6.022217719437802,2130813454.92,9053702.83,0.0,27620050.95000001,2032482602.9,28876101.27
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,I - TRANSPORTE Y ALMACENAMIENTO,43,45154770.07999998,927016094.5775,20.52974897082015,44504618.42,1843149.6,0.0,2882546.850000001,19151658.41,1042694.0
2020-01,BANCOS MÚLTIPLES,LAFISE,I - TRANSPORTE Y ALMACENAMIENTO,27,109133753.09,1137138101.9825,10.41967374699127,108200524.13,19836191.62,0.0,5003134.69,17280000.0,3049142.63
2020-01,BANCOS MÚLTIPLES,ADEMI,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,158,189850902.0900001,2942926926.922498,15.50125332313345,184130609.5000001,487483.07,161484.12,2326933.61,2101092.03,5260729.949999999
2020-01,BANCOS MÚLTIPLES,CARIBE,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,42,381749814.02,4346414915.2755,11.38550630714332,380217877.29,2357206.51,0.0,2200000.0,342642772.08,6524021.71
2020-01,BANCOS MÚLTIPLES,VIMENCA,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,27,167408601.4,1112061228.14,6.642796241292771,166846607.03,0.0,0.0,1039654.04,148861738.47,2549943.840000001
2020-01,BANCOS MÚLTIPLES,BDI,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",242,2456257748.63,25423361941.10347,10.3504454918396,2440657033.38,8681931.23,5407515.41,34183164.05,1686129260.35,49923616.76000003
2020-01,BANCOS MÚLTIPLES,PROGRESO,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",695,2965556162.899999,30752788749.33861,10.36999033573036,2952136948.460001,272587899.5100001,210365505.59,176145574.12,2216419975.02,105666791.27
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,2961,57375183827.86003,440721625723.1245,7.681398059575723,57039842916.48002,2244835.74,126251.8,304463963.64,1526788731.38,20885626.61000001
2020-01,BANCOS MÚLTIPLES,SANTA CRUZ,L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,10,10295686.1,135042917.261,13.11645634388562,10277203.99,0.0,0.0,33173.0,0.0,102956.85
2020-01,BANCOS MÚLTIPLES,BDI,M - ENSEÑANZA,11,182678094.15,2551085501.795,13.96492290805411,182320020.8,252767.77,252767.77,1071423.99,159072029.98,3144430.5
2020-01,BANCOS MÚLTIPLES,SANTA CRUZ,M - ENSEÑANZA,43,116434681.34,1139958005.3363,9.790536567086205,116023285.1,68826.84,68826.84,659031.89,77517260.92,1700759.6
2020-01,BANCOS MÚLTIPLES,BHD,N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA,2372,2604981979.839998,33568278604.80327,12.88618457424611,2590830551.05,6158902.090000001,1121639.94,100445782.13,776261077.15,58803568.61000003
2020-01,BANCOS MÚLTIPLES,SCOTIABANK,N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA,114,217898146.93,2409869352.6084,11.0596137992058,217063117.82,1911546.23,150514.76,15367889.46,61837210.09,3792085.190000001
2020-01,BANCOS MÚLTIPLES,BHD,"O - Otras actividades de servicios comunitarios, sociales y personales",3677,3467237055.529996,51573142077.45204,14.87442054046941,3432306567.38,127710440.25,7115874.290000003,228849138.3999999,713749037.4399997,197804983.0199999
2020-01,BANCOS MÚLTIPLES,SCOTIABANK,"O - Otras actividades de servicios comunitarios, sociales y personales",5758,834768968.3299999,20169822090.2673,24.16216085585706,820286544.84,62133984.92000005,5281711.73,48192314.24999999,114416429.38,38770637.55000002
2020-01,BANCOS MÚLTIPLES,ACTIVO,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",20,12869859.77,235174280.6000001,18.27325897895157,12539276.26,383199.15,195611.02,4835.15,0.0,2146394.42
2020-01,BANCOS MÚLTIPLES,BLH,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",95,427774771.09,4293631339.125999,10.03713082046781,424722172.42,11096724.94,515289.31,5200000.0,334186469.6,6308535.13
2020-01,BANCOS MÚLTIPLES,VIMENCA,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",15,94945805.92,850099850.9204999,8.953527148284802,94431431.17,409.92,409.92,0.0,74173101.82000001,2734932.71
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,19,12434449.6,164633214.3825,13.24008859889544,12375128.26,0.0,0.0,780243.15,0.0,124355.0
2020-01,BANCOS MÚLTIPLES,SCOTIABANK,Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,241,37376708.87,947699973.5347998,25.35536172622894,36588055.43999999,3924643.94,654013.26,2826959.74,9614784.18,1896984.079999999
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,Y - CONSUMO DE BIENES Y SERVICIOS,11672,788760974.3899993,27672642236.20939,35.08368584996293,759628312.6100003,142870427.8199999,2020751.0,84567750.64999998,55540936.65000001,91585582.85000001
2020-01,BANCOS MÚLTIPLES,CITIBANK,Y - CONSUMO DE BIENES Y SERVICIOS,24,3905449.0,8767576.0,2.244959798476436,3903198.0,0.0,0.0,0.0,0.0,39054.49
